dataset,pct_nulls,start_index,end_index,seed,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,nulls,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
contraceptive,40,589,637,1234,27.5128101379978,0.923206096998001,28.4360162349958,152,93,0.882246911525726
contraceptive,40,638,686,1234,29.6731851070008,0.849097596002139,30.5222827030029,152,84,0.854023396968842
contraceptive,40,687,735,1234,31.8314924129991,0.91451997599961,32.7460123889987,152,83,0.855827510356903
contraceptive,40,736,784,1234,34.1985295699997,0.568581303999963,34.7671108739996,152,91,0.873232901096344
contraceptive,40,785,833,1234,36.3318216869975,1.09123273700152,37.423054423999,152,79,0.840322613716126
contraceptive,40,834,882,1234,38.6181123749993,1.86138374799975,40.4794961229991,152,80,0.845376551151276
contraceptive,40,883,931,1234,40.7420965149995,0.95742951000102,41.6995260250005,152,84,0.861181974411011
contraceptive,40,932,980,1234,43.2261622689994,0.269117911002468,43.4952801800018,152,82,0.850422084331513
contraceptive,40,981,1029,1234,44.4801598240001,0.235715626000456,44.7158754500006,152,92,0.878579080104828
contraceptive,40,1030,1078,1234,46.8725052139998,0.587275148000117,47.459780362,152,98,0.894841134548187
contraceptive,40,1079,1127,1234,49.0451188860006,1.06751397099924,50.1126328569999,152,102,0.899390459060669
contraceptive,40,1128,1176,1234,51.1554810599992,0.889986201999818,52.045467261999,152,91,0.884558737277985
contraceptive,40,1177,1225,1234,53.3890581569995,0.572396099000798,53.9614542560003,152,97,0.882189512252808
contraceptive,40,1226,1274,1234,55.2141539229979,1.07598461400266,56.2901385370005,152,85,0.858169138431549
contraceptive,40,1275,1323,1234,57.3937743019997,0.913182984999367,58.306957286999,152,87,0.859659492969513
contraceptive,40,1324,1372,1234,59.6777485260009,0.599106898000173,60.276855424001,152,84,0.843376159667969
contraceptive,40,1373,1421,1234,61.9145735999982,0.345597399000326,62.2601709989986,152,88,0.86188405752182
contraceptive,40,1422,1470,1234,64.1156634079989,0.676779870002065,64.792443278001,152,86,0.871711730957031
contraceptive,40,1471,1472,1234,64.6180863690024,0.000497162000101525,64.6185835310025,0,0,0
